New Tripoli tab-delimited output of processed data for:
23-PP-5 z30 Pb-2399 in New Session-23-PP-5 z30 Pb-2399-report.tsv
produced on: 03/19/26 07:54:24

Data is presented by cycles.
Any discarded values are wrapped in &s.
Any missing values are represented as a blank entry.

Cycle            	Time             	204Pb            	205Pb            	206Pb            	207Pb            	208Pb            	204/205          	206/205          	207/205          	208/205          	206/207          	206/208          	207/208          	206/204          	207/204          	208/204          	alpha 204/206    	alpha 207/206    	alpha 208/206
64.0             	3884.371         	58.99467401      	113346.1309      	585055.9722      	29405.57771      	129569.7025      	5.204824685E-4   	5.161675723      	0.2594316849     	1.143132998      	19.89608835      	4.515376365      	0.226947945      	9917.098145      	498.4446174      	2196.294914      	1.0              	-82.28017316     	367.8556681
65.0             	3920.264         	59.81549166      	112796.2879      	582147.5484      	29145.26326      	128892.7532      	5.302966328E-4   	5.161052366      	0.2583884967     	1.142703857      	19.97400206      	4.516526599      	0.226120263      	9732.387586      	487.2527576      	2154.838984      	1.0              	-82.27803295     	369.5426708
66.0             	3956.164         	59.72425547      	112233.1606      	579340.0326      	29084.42235      	128115.5022      	5.321444676E-4   	5.161932799      	0.2591428613     	1.141512024      	19.91925525      	4.522013514      	0.2270171981     	9700.247043      	486.9783997      	2145.116774      	1.0              	-82.28105565     	368.3213826
67.0             	3992.059         	59.45976091      	111722.2592      	576414.1705      	28899.53293      	127349.1447      	5.322105133E-4   	5.159349396      	0.2586730087     	1.139872624      	19.94544936      	4.526250817      	0.2269315038     	9694.189174      	486.0351351      	2141.770212      	1.0              	-82.27218338     	369.0812197
68.0             	4027.953         	61.61449236      	111065.5608      	573131.7112      	28764.9585       	126422.6049      	5.547578559E-4   	5.160300882      	0.2589908006     	1.138270082      	19.92464933      	4.53345912       	0.2275301835     	9301.897805      	466.8537774      	2051.832289      	1.0              	-82.27545213     	368.5669907
69.0             	4063.85          	61.64138137      	110519.2892      	569991.0397      	28615.8922       	125603.3116      	5.577431942E-4   	5.157389664      	0.258922152      	1.136483165      	19.91868839      	4.538025569      	0.2278275296     	9246.88946       	464.2318449      	2037.645959      	1.0              	-82.26544706     	368.6779662
70.0             	4099.739         	58.73757141      	109873.0476      	567157.214       	28480.49568      	125186.5754      	5.345949045E-4   	5.161932122      	0.2592127577     	1.139374743      	19.91388143      	4.530495478      	0.2275043916     	9655.782498      	484.8769705      	2131.286201      	1.0              	-82.28105333     	368.2085826
71.0             	4500.561         	51.81208766      	99986.31695      	517626.8197      	26057.43951      	114909.7351      	5.18191781E-4    	5.176976565      	0.2606100545     	1.149254604      	19.86483819      	4.504638525      	0.2267644207     	9990.464446      	502.9220147      	2217.817121      	1.0              	-82.3325451      	365.9662995
72.0             	4664.596         	51.69592318      	93826.52195      	483854.5002      	24309.92513      	107283.4005      	5.509734573E-4   	5.156905427      	0.2590943863     	1.143422971      	19.90357838      	4.51005932       	0.2265954008     	9359.625874      	470.2483993      	2075.277776      	1.0              	-82.26378178     	368.3996478
73.0             	4700.493         	51.000122        	93303.59044      	481214.3152      	24210.09719      	106681.1318      	5.46604067E-4    	5.157511227      	0.2594765868     	1.143376491      	19.87659576      	4.510772496      	0.2269388858     	9435.552236      	474.7066524      	2091.781894      	1.0              	-82.26586507     	367.7833589
74.0             	4736.394         	50.27989456      	92874.89503      	478810.9277      	23976.19127      	105847.8229      	5.413722895E-4   	5.155439772      	0.2581557832     	1.13968175       	19.97026643      	4.523578421      	0.226515677      	9522.910339      	476.8544461      	2105.171935      	1.0              	-82.2587395      	369.9208658
75.0             	4772.304         	50.6278062       	92350.15965      	476406.6855      	23900.30034      	105031.9199      	5.482156868E-4   	5.1586991        	0.2588008557     	1.137322559      	19.93308363      	4.535827643      	0.2275527323     	9409.980824      	472.0785303      	2074.589593      	1.0              	-82.26994864     	368.8741946
76.0             	4808.199         	52.48044238      	91761.37408      	473621.6253      	23742.52432      	104363.2698      	5.719230222E-4   	5.161448704      	0.2587420313     	1.137333337      	19.94824218      	4.538202244      	0.2274988544     	9024.726237      	452.407092       	1988.612616      	1.0              	-82.27939378     	368.9694247
77.0             	4844.101         	50.66535982      	91275.17723      	470910.361       	23623.0739       	104004.9601      	5.550836641E-4   	5.159237981      	0.2588115917     	1.139465989      	19.9343389       	4.527768297      	0.2271341085     	9294.523176      	466.2569057      	2052.782423      	1.0              	-82.27180054     	368.856819
78.0             	4880.015         	50.76099856      	90694.75221      	467803.6129      	23462.09452      	103206.7231      	5.59690581E-4    	5.158000892      	0.2586929668     	1.137956944      	19.93869782      	4.532685459      	0.2273310675     	9215.807927      	462.2071115      	2033.189378      	1.0              	-82.26754863     	369.0488878
79.0             	4915.902         	49.46413911      	90148.2261       	464880.911       	23278.51218      	102748.2667      	5.486978641E-4   	5.156850346      	0.2582248501     	1.139770256      	19.9703876       	4.52446475       	0.2265586848     	9398.3423        	470.6139153      	2077.227433      	1.0              	-82.26359234     	369.8085503
80.0             	4951.792         	49.16150647      	89679.82957      	462224.7879      	23184.80904      	102252.7817      	5.481891157E-4   	5.154166663      	0.258528692      	1.140198216      	19.93653634      	4.520412845      	0.2267401302     	9402.168915      	471.6049345      	2079.93589       	1.0              	-82.2543573      	369.3151605
81.0             	5213.779         	42.01731904      	86438.81129      	445821.5409      	22281.148        	98030.61411      	4.860932076E-4   	5.157654696      	0.2577678668     	1.134104144      	20.00891251      	4.547778722      	0.2272876509     	10610.4233       	530.2848565      	2333.100168      	1.0              	-82.26635837     	370.5528072
82.0             	5249.669         	44.8456586       	85931.42405      	443139.209       	22172.46949      	97563.88334      	5.218772887E-4   	5.15689358       	0.2580251605     	1.135369097      	19.98601055      	4.54204152       	0.2272610389     	9881.429392      	494.417301       	2175.54801       	1.0              	-82.26374103     	370.1334466
83.0             	5285.566         	46.28841069      	85330.51139      	440536.139       	22025.12435      	97246.22592      	5.424602518E-4   	5.162703608      	0.2581154617     	1.139641898      	20.0015279       	4.530110396      	0.2264882173     	9517.201659      	475.8237325      	2100.87632       	1.0              	-82.28370115     	369.9864637
84.0             	5321.462         	47.68548652      	84892.22824      	437532.6833      	21889.59714      	96899.32697      	5.617179277E-4   	5.153978077      	0.2578516031     	1.141439316      	19.98815604      	4.51533253       	0.2259004043     	9175.384696      	459.041078       	2032.050715      	1.0              	-82.25370798     	370.4162344
85.0             	5357.361         	46.17556367      	84411.00451      	435097.9615      	21803.21604      	96371.6072       	5.4703251E-4     	5.154517044      	0.2582982653     	1.141694827      	19.95567813      	4.514794078      	0.2262410753     	9422.688689      	472.1808313      	2087.069427      	1.0              	-82.25556357     	369.6892297
86.0             	5393.246         	46.17267857      	84079.44452      	432838.9123      	21680.89986      	95762.04579      	5.491553713E-4   	5.147975403      	0.257862073      	1.138947175      	19.96406584      	4.519942204      	0.2264038918     	9374.351362      	469.5612325      	2073.99806       	1.0              	-82.23301534     	370.3991644
87.0             	5429.142         	46.22584388      	83475.96392      	430726.7337      	21617.21387      	95157.11625      	5.537623252E-4   	5.159889308      	0.2589633333     	1.139934321      	19.92517335      	4.526479476      	0.2271739069     	9317.877135      	467.6434664      	2058.526319      	1.0              	-82.27403835     	368.6113865
